chrom	start	end	fc	f2_start	f2_end	f2_fc	summitDist
chr21	28937062	28937302	23.9148320018102	28937186	28937205	0.109	-1
chr21	29073396	29073636	155.192916651482	29073497	29073516	0.29	-1
chr21	29175258	29175498	39.302193710843	29175376	29175395	0.331	-1
chr21	29423998	29424238	25.9341140440651	29424111	29424130	0.656	-1
chr21	29889385	29889625	27.8040122573636	29889491	29889510	0.11	1
chr21	30114952	30115192	40.7125430811586	NA	NA	NA	NA
chr21	30117468	30117649	359.982584862452	30117554	30117573	0.426	-1
chr21	30118087	30118327	195.568663766379	30118198	30118217	0.416	-1
chr21	30154007	30154247	81.3288356519097	30154114	30154133	0.642	-1
chr21	30165446	30165686	91.4337240297545	30165556	30165575	0.42	-1
chr21	30266086	30266326	32.1125806005367	30266214	30266233	0.659	-1
chr21	30312641	30312755	175.393503436496	30312697	30312716	0.454	-1
chr21	30397308	30397548	39.592634073066	NA	NA	NA	NA
chr21	30445946	30446186	40.5104973044011	NA	NA	NA	NA
chr21	30462445	30462554	251.929361962559	30462490	30462509	0.156	1
chr21	30465001	30465241	49.4077561365194	NA	NA	NA	NA
chr21	30536784	30536929	212.003405083116	NA	NA	NA	NA
chr21	30568652	30568892	122.122011265908	NA	NA	NA	NA
chr21	30605591	30605831	60.4035686393865	30605672	30605691	0.649	1
chr21	30640631	30640871	82.1738830037643	30640735	30640754	0.647	1
chr21	30671037	30671277	87.3614109260737	30671129	30671148	0.154	1
chr21	30689247	30689487	24.9195092475267	30689366	30689385	0.465	-1
chr21	30707097	30707337	49.4949122814935	30707210	30707229	0.649	-1
chr21	30708017	30708257	55.7255484596162	NA	NA	NA	NA
chr21	30720960	30721084	206.385260036218	30721004	30721023	0.397	-1
chr21	30729183	30729423	30.598543170318	NA	NA	NA	NA
chr21	30733771	30734011	74.4178718010168	30733938	30733957	0.444	1
chr21	30744800	30744941	261.319329216251	30744858	30744877	0.274	-1
chr21	30749044	30749109	147.172473115249	30749077	30749096	0.122	-1
chr21	30848904	30849038	197.754330853112	30848939	30848958	0.308	1
chr21	30872099	30872339	120.596018706094	30872183	30872202	0.357	-1
chr21	30878081	30878321	23.749574306317	NA	NA	NA	NA
chr21	30930159	30930399	25.2902372585683	30930269	30930288	0.642	1
chr21	31044130	31044370	84.5194888815975	31044243	31044262	0.609	1
chr21	31060934	31061174	36.5459857886766	31061048	31061067	0.426	-1
chr21	31222128	31222268	243.994111560165	31222203	31222222	0.317	-1
chr21	31277189	31277429	43.4793912088428	NA	NA	NA	NA
chr21	31316274	31316514	107.62687078005	31316392	31316411	0.644	1
chr21	31416916	31417012	191.084095365439	31416970	31416989	0.623	1
chr21	31444867	31445107	40.8087235381534	31445001	31445020	0.578	1
chr21	31567094	31567334	119.631480592437	31567202	31567221	0.396	-1
chr21	31581967	31582207	26.6099203457961	31582079	31582098	0.441	1
chr21	31621216	31621456	28.9208106172588	31621319	31621338	0.42	-1
chr21	31630186	31630426	49.0933250889173	31630284	31630303	0.0687	-1
chr21	31640967	31641207	56.2338291741409	31641082	31641101	0.396	1
chr21	31713365	31713605	134.189159970822	31713480	31713499	0.151	1
chr21	31781280	31781520	34.4850796396524	31781388	31781407	0.626	-1
chr21	31806432	31806672	55.3582328733118	31806533	31806552	0.663	-1
chr21	31836158	31836398	34.539424361532	NA	NA	NA	NA
chr21	31877986	31878226	22.3860645857031	NA	NA	NA	NA
chr21	32203563	32203803	108.816626613628	32203681	32203700	0.0326	1
